Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Stall.ROB	Stall.RAT	Stall.MEC	Stall.AnyRS	Loads.RehabQ	Stores.RehabQ	Loads.Retired	Stores.Retired	Branches	Mispredictions	Vertices	Edges
SV	Branch-avoiding	28	114063811	272176651	332322822	44134017	24661870	22991051	24694420	4212724	9	93045050	952208	47474718	1037112	952204	45570272
SV	Branch-avoiding	29	114147451	272215165	332322821	44058680	24682381	23052153	24693337	4212677	5	93045050	952208	47474717	1037189	952204	45570272
SV	Branch-avoiding	30	114040510	272307455	332322822	44109990	24710687	23001378	24659471	4212849	5	93045047	952208	47474718	1037203	952204	45570272
SV	Branch-avoiding	31	114109411	272167989	332322821	44055371	24703759	23003655	24662490	4212975	8	93045053	952208	47474717	1037149	952204	45570272
SV	Branch-avoiding	32	114044711	272151130	332322823	44068670	24721188	23058738	24674413	4212728	4	93045047	952208	47474718	1037230	952204	45570272
SV	Branch-avoiding	33	114094091	272158579	332322822	44102204	24683076	23015747	24680496	4212702	6	93045050	952208	47474717	1037119	952204	45570272
SV	Branch-avoiding	34	114096211	272214759	332322821	44087020	24708178	23006697	24675359	4212923	4	93045047	952208	47474719	1037072	952204	45570272
SV	Branch-avoiding	35	114068670	272150950	332322823	44071766	24688974	23018195	24688051	4212730	10	93045050	952208	47474718	1037212	952204	45570272
SV	Branch-avoiding	36	114063551	272196327	332322821	44063476	24736025	23022145	24713939	4212756	4	93045050	952208	47474719	1037130	952204	45570272
SV	Branch-avoiding	37	114117111	272107159	332322822	44074903	24730280	23066174	24665254	4212598	4	93045047	952208	47474718	1037204	952204	45570272
SV	Branch-avoiding	38	114119701	272163205	332322821	44083801	24684055	22993218	24678004	4212847	5	93045050	952208	47474717	1037232	952204	45570272
SV	Branch-avoiding	39	114049321	272214334	332322822	44026114	24676391	23021336	24654523	4212410	1	93045047	952208	47474718	1037104	952204	45570272
SV	Branch-avoiding	40	114110750	272192614	332322822	44047642	24710452	23064527	24652979	4212826	3	93045050	952208	47474717	1037188	952204	45570272
SV	Branch-avoiding	41	114032351	272156625	332322821	44037978	24690956	23011100	24698002	4212515	5	93045047	952208	47474718	1037180	952204	45570272
SV	Branch-avoiding	42	114112791	272178376	332322823	44059586	24678050	23045009	24656017	4212916	3	93045053	952208	47474717	1037119	952204	45570272
SV	Branch-avoiding	43	114155231	272263862	332322821	44024130	24712356	22997750	24642497	4212356	5	93045053	952208	47474718	1037060	952204	45570272
SV	Branch-avoiding	44	114101761	272112051	332322822	44061389	24740444	23017127	24657264	4212900	3	93045047	952208	47474719	1037132	952204	45570272
SV	Branch-avoiding	45	114109321	272212517	332322821	44065268	24738077	23021024	24705085	4212627	6	93045050	952208	47474717	1037147	952204	45570272
SV	Branch-avoiding	46	114139721	272213182	332322823	44088782	24685439	23054495	24649472	4212434	4	93045047	952208	47474720	1037120	952204	45570272
SV	Branch-avoiding	47	114060270	272186418	332322822	44019444	24728837	22993823	24683883	4212793	6	93045050	952208	47474717	1037191	952204	45570272
SV	Branch-avoiding	48	114102751	272154943	332322821	44071159	24711131	23013087	24684522	4212868	6	93045047	952208	47474718	1037216	952204	45570272
SV	Branch-avoiding	49	114088391	272120867	332322822	44124684	24697301	23011499	24650653	4212805	6	93045053	952208	47474717	1037224	952204	45570272
SV	Branch-avoiding	50	114088431	272196796	332322821	44056148	24656308	23021259	24681096	4213113	2	93045050	952208	47474718	1037153	952204	45570272
SV	Branch-avoiding	51	114081831	272138400	332322822	44147269	24712965	22999159	24658844	4212593	2	93045047	952208	47474718	1037125	952204	45570272
SV	Branch-avoiding	52	114094461	272200683	332322823	44106630	24687754	23023889	24691667	4212930	7	93045050	952208	47474717	1037118	952204	45570272
SV	Branch-avoiding	53	114090720	272186943	332322822	44153831	24663571	22977152	24719556	4212679	7	93045047	952208	47474719	1037136	952204	45570272
SV	Branch-avoiding	54	114093281	272170760	332322822	44051142	24705846	22998995	24674043	4212981	6	93045050	952208	47474717	1037103	952204	45570272
SV	Branch-avoiding	55	114108121	272149790	332322821	44050244	24699820	23025038	24683502	4212846	7	93045050	952208	47474718	1037115	952204	45570272
SV	Branch-avoiding	56	114068761	272178584	332322822	44081811	24706483	23026922	24698994	4212839	6	93045050	952208	47474717	1037188	952204	45570272
SV	Branch-avoiding	57	114075411	272273471	332322821	44128303	24702107	23046424	24669083	4212677	4	93045050	952208	47474718	1037121	952204	45570272
SV	Branch-avoiding	58	114071010	272212143	332322822	44111501	24667430	22990379	24692069	4212613	3	93045047	952208	47474718	1037128	952204	45570272
