Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Stall.SB	Stall.LB	Loads.Dispatched	Stores.Dispatched	Stall.LDQ	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-avoiding	5	10527	37005	63035	0	0	11172	10639	0	5389	115	112	5156
BFS/TD	Branch-avoiding	6	14625	51678	82957	0	0	14653	13991	0	7090	150	147	6787
BFS/TD	Branch-avoiding	7	17260	61325	102879	232	0	18256	17357	0	8791	185	182	8418
BFS/TD	Branch-avoiding	8	20982	74237	123389	0	0	21887	20870	0	10541	220	217	10098
BFS/TD	Branch-avoiding	9	24192	83951	135107	0	0	23888	22767	0	11542	241	238	11057
BFS/TD	Branch-avoiding	10	23959	82537	144931	35	0	25652	24580	0	12377	255	252	11864
BFS/TD	Branch-avoiding	11	25989	91705	158399	186	0	28036	26718	0	13532	283	280	12963
BFS/TD	Branch-avoiding	12	29202	103339	178493	0	0	31509	30059	0	15231	304	301	14620
BFS/TD	Branch-avoiding	13	36513	127721	218767	13	0	38654	36892	0	18677	381	378	17912
BFS/TD	Branch-avoiding	14	41177	143066	257305	176	0	45457	43395	0	21962	444	441	21071
BFS/TD	Branch-avoiding	15	47977	167226	299931	238	0	52972	50581	0	25604	521	518	24559
BFS/TD	Branch-avoiding	16	58784	206645	379619	46	0	67063	64006	0	32408	661	658	31083
BFS/TD	Branch-avoiding	17	65828	231880	424009	241	0	74921	71480	0	36197	738	735	34718
BFS/TD	Branch-avoiding	18	71757	252412	471797	302	0	83280	79462	0	40261	808	805	38642
BFS/TD	Branch-avoiding	19	86210	304963	549735	386	0	96922	92536	0	46912	941	938	45026
BFS/TD	Branch-avoiding	20	113478	400265	701103	562	0	123470	117932	0	59819	1193	1190	57430
BFS/TD	Branch-avoiding	21	144978	508400	891505	400	0	157192	150135	0	76086	1536	1533	73011
BFS/TD	Branch-avoiding	22	177473	626875	1124167	532	0	198243	189261	0	95940	1935	1932	92067
BFS/TD	Branch-avoiding	23	218043	765977	1399093	569	0	246878	235576	0	119414	2418	2415	114575
